"   ","STRENGTHS","WEAKNESSES","PLAYING_STYLE","P_NAME","P_ID","TEAM_NAME","PLAYER_ID","ROWID"
"5674","Athleticism","Foul Prone","Pick-and-Roll","Center","3","""TOR""","2659","AACmXpAAGAAAYUPAA5"
"5675","Versatility","Inconsistent Shooting","Fast Break","Small Forward","2","""BOS""","4105","AACmXpAAGAAAYUPAA6"
"5676","Ball Handling","Poor Decision Making","Zone Defense","Point Guard","2","""BKN""","1671","AACmXpAAGAAAYUPAA7"
"5677","Versatility","Foul Prone","Zone Defense","Point Guard","5","""NOP""","18108","AACmXpAAGAAAYUPAA8"
"5678","Basketball IQ","Poor Decision Making","Isolation","Point Guard","1","""DAL""","2538","AACmXpAAGAAAYUPAA9"
"5679","Rebounding","Lack of Experience","Isolation","Small Forward","1","""GSW""","1414","AACmXpAAGAAAYUPAA+"
"5680","Passing","Weak Defense","Small Ball","Shooting Guard","4","""DET""","19302","AACmXpAAGAAAYUPAA/"
"5681","Athleticism","Injury Prone","Isolation","Power Forward","3","""DEN""","5186","AACmXpAAGAAAYUPABA"
"5682","Defense","Inconsistent Shooting","Triangle Offense","Center","4","""CHI""","11186","AACmXpAAGAAAYUPABB"
"5683","Versatility","Lack of Size/Length","Pick-and-Roll","Point Guard","3","ATL","14058","AACmXpAAGAAAYUPABC"
"5684","Passing","Weak Defense","Man-to-Man Defense","Shooting Guard","3","""TOR""","2321","AACmXpAAGAAAYUPABD"
"5685","Ball Handling","Foul Prone","Pick-and-Roll","Point Guard","2","""DEN""","8018","AACmXpAAGAAAYUPABE"
"5686","Versatility","Injury Prone","Pick-and-Roll","Point Guard","2","""LAL""","17082","AACmXpAAGAAAYUPABF"
"5687","Leadership","Injury Prone","Triangle Offense","Shooting Guard","1","""CLE""","16249","AACmXpAAGAAAYUPABG"
"5688","Leadership","Inconsistent Shooting","Isolation","Center","2","""MEM""","6832","AACmXpAAGAAAYUPABH"
"5689","Athleticism","Lack of Size/Length","Small Ball","Power Forward","5","""PHI""","13071","AACmXpAAGAAAYUPABI"
"5690","Size/Length","Inconsistent Shooting","Small Ball","Power Forward","3","""TOR""","418","AACmXpAAGAAAYUPABJ"
"5691","Scoring","Poor Decision Making","Fast Break","Shooting Guard","2","""WAS""","13807","AACmXpAAGAAAYUPABK"
"5692","Passing","Poor Decision Making","Triangle Offense","Small Forward","4","""NYK""","1154","AACmXpAAGAAAYUPABL"
"5693","Versatility","Inconsistent Shooting","Isolation","Center","4","""POR""","1863","AACmXpAAGAAAYUPABM"
"5694","Size/Length","Weak Defense","Small Ball","Shooting Guard","5","""DET""","3581","AACmXpAAGAAAYUPABN"
"5695","Leadership","Poor Ball Handling","Fast Break","Point Guard","2","""UTA""","18783","AACmXpAAGAAAYUPABO"
"5696","Versatility","Weak Defense","Isolation","Power Forward","2","""DET""","10302","AACmXpAAGAAAYUPABP"
"5697","Versatility","Inconsistent Shooting","Pick-and-Roll","Power Forward","3","""MIA""","7822","AACmXpAAGAAAYUPABQ"
"5698","Passing","Inconsistent Shooting","Half-Court Offense","Point Guard","4","""BOS""","18771","AACmXpAAGAAAYUPABR"
"5699","Leadership","Lack of Experience","Man-to-Man Defense","Power Forward","2","""MIL""","19880","AACmXpAAGAAAYUPABS"
"5700","Scoring","Lack of Experience","Small Ball","Power Forward","5","""SAS""","16501","AACmXpAAGAAAYUPABT"
"5701","Leadership","Lack of Experience","Pick-and-Roll","Power Forward","2","""CLE""","19718","AACmXpAAGAAAYUPABU"
"5702","Scoring","Inconsistent Shooting","Half-Court Offense","Point Guard","1","""CHI""","16802","AACmXpAAGAAAYUPABV"
"5703","Rebounding","Lack of Size/Length","Man-to-Man Defense","Shooting Guard","2","""GSW""","11485","AACmXpAAGAAAYUPABW"
"5704","Shooting","Foul Prone","Triangle Offense","Power Forward","4","""LAL""","2293","AACmXpAAGAAAYUPABX"
"5705","Shooting","Lack of Experience","Man-to-Man Defense","Shooting Guard","4","""LAC""","7001","AACmXpAAGAAAYUPABY"
"5706","Size/Length","Inconsistent Shooting","Pick-and-Roll","Small Forward","4","""GSW""","6162","AACmXpAAGAAAYUPABZ"
"5707","Shooting","Foul Prone","Isolation","Small Forward","3","""CHA""","9131","AACmXpAAGAAAYUPABa"
"5708","Shooting","Lack of Experience","Triangle Offense","Shooting Guard","5","""POR""","7815","AACmXpAAGAAAYUPABb"
"5709","Ball Handling","Inconsistent Shooting","Zone Defense","Small Forward","4","""CHI""","7340","AACmXpAAGAAAYUPABc"
"5710","Size/Length","Weak Defense","Triangle Offense","Point Guard","2","""ORL""","16389","AACmXpAAGAAAYUPABd"
"5711","Rebounding","Lack of Experience","Half-Court Offense","Power Forward","1","""CLE""","4196","AACmXpAAGAAAYUPABe"
"5712","Ball Handling","Poor Ball Handling","Half-Court Offense","Center","1","""NYK""","18789","AACmXpAAGAAAYUPABf"
"5713","Versatility","Weak Defense","Isolation","Center","3","""MIL""","1683","AACmXpAAGAAAYUPABg"
"5714","Leadership","Foul Prone","Half-Court Offense","Center","3","""LAC""","4826","AACmXpAAGAAAYUPABh"
"5715","Rebounding","Injury Prone","Isolation","Shooting Guard","3","""WAS""","70","AACmXpAAGAAAhHBAAA"
"5716","Scoring","Weak Defense","Half-Court Offense","Point Guard","1","""SAS""","13234","AACmXpAAGAAAhHBAAB"
"5717","Passing","Lack of Athleticism","Zone Defense","Shooting Guard","1","""DET""","19308","AACmXpAAGAAAhHBAAC"
"5718","Athleticism","Injury Prone","Isolation","Power Forward","3","""MEM""","16183","AACmXpAAGAAAhHBAAD"
"5719","Size/Length","Weak Defense","Man-to-Man Defense","Shooting Guard","5","""BKN""","9329","AACmXpAAGAAAhHBAAE"
"5720","Rebounding","Injury Prone","Half-Court Offense","Power Forward","3","""NOP""","19164","AACmXpAAGAAAhHBAAF"
"5721","Passing","Lack of Athleticism","Half-Court Offense","Point Guard","4","""MIN""","14781","AACmXpAAGAAAhHBAAG"
"5722","Leadership","Inconsistent Shooting","Zone Defense","Center","4","""CLE""","11783","AACmXpAAGAAAhHBAAH"
"5723","Basketball IQ","Lack of Experience","Isolation","Power Forward","2","""MEM""","12960","AACmXpAAGAAAhHBAAI"
"5724","Scoring","Inconsistent Shooting","Isolation","Power Forward","5","""MEM""","19957","AACmXpAAGAAAhHBAAJ"
"5725","Ball Handling","Foul Prone","Small Ball","Point Guard","5","""POR""","13696","AACmXpAAGAAAhHBAAK"
"5726","Passing","Inconsistent Shooting","Triangle Offense","Small Forward","1","""ORL""","12764","AACmXpAAGAAAhHBAAL"
"5727","Shooting","Injury Prone","Pick-and-Roll","Point Guard","4","""OKC""","11748","AACmXpAAGAAAhHBAAM"
"5728","Athleticism","Poor Ball Handling","Man-to-Man Defense","Power Forward","5","""MIL""","13572","AACmXpAAGAAAhHBAAN"
"5729","Ball Handling","Foul Prone","Man-to-Man Defense","Small Forward","1","""SAS""","4915","AACmXpAAGAAAhHBAAO"
"5730","Shooting","Lack of Experience","Isolation","Point Guard","2","""BOS""","10734","AACmXpAAGAAAhHBAAP"
"5731","Scoring","Poor Ball Handling","Zone Defense","Shooting Guard","1","""SAS""","15161","AACmXpAAGAAAhHBAAQ"
"5732","Versatility","Lack of Experience","Triangle Offense","Power Forward","2","""SAC""","11877","AACmXpAAGAAAhHBAAR"
"5733","Versatility","Poor Ball Handling","Pick-and-Roll","Center","2","""MIL""","6168","AACmXpAAGAAAhHBAAS"
"5734","Size/Length","Poor Decision Making","Fast Break","Shooting Guard","1","""WAS""","15880","AACmXpAAGAAAhHBAAT"
"5735","Shooting","Inconsistent Shooting","Fast Break","Point Guard","2","""PHX""","10122","AACmXpAAGAAAhHBAAU"
"5736","Basketball IQ","Inconsistent Shooting","Isolation","Power Forward","4","""MIN""","14395","AACmXpAAGAAAhHBAAV"
"5737","Ball Handling","Inconsistent Shooting","Zone Defense","Small Forward","4","ATL","454","AACmXpAAGAAAhHBAAW"
"5738","Rebounding","Lack of Size/Length","Zone Defense","Power Forward","4","""ORL""","16435","AACmXpAAGAAAhHBAAX"
"5739","Versatility","Poor Decision Making","Half-Court Offense","Shooting Guard","1","""CHI""","6990","AACmXpAAGAAAhHBAAY"
"5740","Shooting","Poor Decision Making","Zone Defense","Shooting Guard","4","ATL","1365","AACmXpAAGAAAhHBAAZ"
"5741","Passing","Inconsistent Shooting","Zone Defense","Center","3","""MIA""","6672","AACmXpAAGAAAhHBAAa"
"5742","Scoring","Poor Ball Handling","Pick-and-Roll","Power Forward","3","""WAS""","3850","AACmXpAAGAAAhHBAAb"
"5743","Versatility","Lack of Size/Length","Pick-and-Roll","Small Forward","1","""SAS""","8054","AACmXpAAGAAAhHBAAc"
"5744","Ball Handling","Weak Defense","Half-Court Offense","Power Forward","1","""UTA""","5188","AACmXpAAGAAAhHBAAd"
"5745","Athleticism","Weak Defense","Triangle Offense","Small Forward","5","""NYK""","2314","AACmXpAAGAAAhHBAAe"
"5746","Rebounding","Injury Prone","Fast Break","Shooting Guard","3","""BKN""","5269","AACmXpAAGAAAhHBAAf"
"5747","Basketball IQ","Poor Ball Handling","Triangle Offense","Small Forward","4","""UTA""","8866","AACmXpAAGAAAhHBAAg"
"5748","Rebounding","Lack of Athleticism","Isolation","Center","5","""CHA""","4304","AACmXpAAGAAAhHBAAh"
"5749","Leadership","Lack of Size/Length","Isolation","Point Guard","3","""PHX""","1009","AACmXpAAGAAAhHBAAi"
"5750","Shooting","Injury Prone","Zone Defense","Point Guard","5","""OKC""","9840","AACmXpAAGAAAhHBAAj"
"5751","Athleticism","Poor Ball Handling","Triangle Offense","Point Guard","2","""HOU""","7708","AACmXpAAGAAAhHBAAk"
"5752","Versatility","Poor Ball Handling","Fast Break","Point Guard","5","""MIL""","8584","AACmXpAAGAAAhHBAAl"
"5753","Basketball IQ","Lack of Athleticism","Man-to-Man Defense","Center","2","""UTA""","12753","AACmXpAAGAAAhHBAAm"
"5754","Ball Handling","Injury Prone","Fast Break","Power Forward","5","""BOS""","441","AACmXpAAGAAAhHBAAn"
"5755","Rebounding","Inconsistent Shooting","Pick-and-Roll","Small Forward","4","""IND""","3532","AACmXpAAGAAAhHBAAo"
"5756","Size/Length","Inconsistent Shooting","Half-Court Offense","Shooting Guard","2","""UTA""","10281","AACmXpAAGAAAhHBAAp"
"5757","Versatility","Poor Ball Handling","Man-to-Man Defense","Small Forward","5","""NOP""","19619","AACmXpAAGAAAhHBAAq"
"5758","Shooting","Poor Ball Handling","Man-to-Man Defense","Center","3","""PHX""","7376","AACmXpAAGAAAhHBAAr"
"5759","Scoring","Weak Defense","Zone Defense","Center","3","""GSW""","7652","AACmXpAAGAAAhHBAAs"
"5760","Leadership","Lack of Experience","Isolation","Power Forward","5","""MIA""","19614","AACmXpAAGAAAhHBAAt"
"5761","Shooting","Lack of Size/Length","Zone Defense","Shooting Guard","5","""PHI""","4778","AACmXpAAGAAAhHBAAu"
"5762","Basketball IQ","Foul Prone","Man-to-Man Defense","Center","3","""HOU""","5611","AACmXpAAGAAAhHBAAv"
"5763","Versatility","Weak Defense","Fast Break","Center","2","""NYK""","19533","AACmXpAAGAAAhHBAAw"
"5764","Size/Length","Poor Ball Handling","Half-Court Offense","Power Forward","3","""TOR""","9040","AACmXpAAGAAAhHBAAx"
"5765","Athleticism","Lack of Athleticism","Half-Court Offense","Shooting Guard","3","""TOR""","17621","AACmXpAAGAAAhHBAAy"
"5766","Leadership","Lack of Athleticism","Fast Break","Small Forward","5","""LAC""","2099","AACmXpAAGAAAhHBAAz"
"5767","Ball Handling","Poor Decision Making","Small Ball","Small Forward","5","""MEM""","1964","AACmXpAAGAAAhHBAA0"
"5768","Size/Length","Poor Ball Handling","Man-to-Man Defense","Point Guard","2","""DAL""","15281","AACmXpAAGAAAhHBAA1"
"5769","Basketball IQ","Injury Prone","Triangle Offense","Power Forward","2","""OKC""","2817","AACmXpAAGAAAhHBAA2"
"5770","Leadership","Inconsistent Shooting","Fast Break","Center","2","""DEN""","4777","AACmXpAAGAAAhHBAA3"
"5771","Scoring","Inconsistent Shooting","Zone Defense","Shooting Guard","5","""MIA""","15944","AACmXpAAGAAAhHBAA4"
"5772","Defense","Inconsistent Shooting","Pick-and-Roll","Center","2","""POR""","13170","AACmXpAAGAAAhHBAA5"
"5773","Ball Handling","Inconsistent Shooting","Pick-and-Roll","Center","1","""POR""","6102","AACmXpAAGAAAhHBAA6"
"5774","Scoring","Weak Defense","Triangle Offense","Center","4","""MIL""","9773","AACmXpAAGAAAhHBAA7"
"5775","Defense","Foul Prone","Half-Court Offense","Small Forward","4","""PHX""","584","AACmXpAAGAAAhHBAA8"
"5776","Shooting","Weak Defense","Isolation","Center","2","""BKN""","374","AACmXpAAGAAAhHBAA9"
"5777","Passing","Poor Ball Handling","Man-to-Man Defense","Point Guard","2","""CHA""","14627","AACmXpAAGAAAhHBAA+"
"5778","Rebounding","Poor Ball Handling","Man-to-Man Defense","Point Guard","4","""MEM""","8409","AACmXpAAGAAAhHBAA/"
"5779","Athleticism","Poor Decision Making","Pick-and-Roll","Point Guard","5","""MEM""","8343","AACmXpAAGAAAhHBABA"
"5780","Passing","Weak Defense","Pick-and-Roll","Power Forward","5","""UTA""","17055","AACmXpAAGAAAhHBABB"
"5781","Size/Length","Lack of Athleticism","Pick-and-Roll","Point Guard","3","""PHX""","14657","AACmXpAAGAAAhHBABC"
"5782","Shooting","Injury Prone","Zone Defense","Shooting Guard","5","""NOP""","543","AACmXpAAGAAAhHBABD"
"5783","Size/Length","Lack of Experience","Half-Court Offense","Center","2","""PHI""","10911","AACmXpAAGAAAhHBABE"
"5784","Ball Handling","Poor Ball Handling","Zone Defense","Shooting Guard","2","""OKC""","9542","AACmXpAAGAAAhHBABF"
"5785","Passing","Injury Prone","Half-Court Offense","Small Forward","2","""MIL""","14460","AACmXpAAGAAAhHBABG"
"5786","Ball Handling","Weak Defense","Man-to-Man Defense","Point Guard","1","""DEN""","5829","AACmXpAAGAAAhHBABH"
"5787","Leadership","Poor Decision Making","Man-to-Man Defense","Small Forward","5","""WAS""","16041","AACmXpAAGAAAhHBABI"
"5788","Ball Handling","Injury Prone","Triangle Offense","Small Forward","3","""PHX""","12065","AACmXpAAGAAAhHBABJ"
"5789","Athleticism","Inconsistent Shooting","Fast Break","Center","2","ATL","5175","AACmXpAAGAAAhHBABK"
"5790","Athleticism","Weak Defense","Half-Court Offense","Center","4","""IND""","9443","AACmXpAAGAAAhHBABL"
"5791","Versatility","Lack of Size/Length","Small Ball","Point Guard","2","""PHX""","660","AACmXpAAGAAAhHBABM"
"5792","Rebounding","Foul Prone","Pick-and-Roll","Center","2","""MIA""","5617","AACmXpAAGAAAhHBABN"
"5793","Shooting","Lack of Athleticism","Small Ball","Point Guard","2","""MEM""","17480","AACmXpAAGAAAhHBABO"
"5794","Athleticism","Inconsistent Shooting","Fast Break","Shooting Guard","4","""WAS""","3848","AACmXpAAGAAAhHBABP"
"5795","Scoring","Poor Ball Handling","Fast Break","Center","3","""DEN""","10556","AACmXpAAGAAAhHBABQ"
"5796","Defense","Poor Decision Making","Fast Break","Power Forward","4","""MEM""","18007","AACmXpAAGAAAhHBABR"
"5797","Size/Length","Lack of Athleticism","Triangle Offense","Power Forward","5","""UTA""","16881","AACmXpAAGAAAhHBABS"
"5798","Passing","Lack of Athleticism","Man-to-Man Defense","Shooting Guard","4","""MIN""","13154","AACmXpAAGAAAhHBABT"
"5799","Athleticism","Foul Prone","Pick-and-Roll","Small Forward","1","""BKN""","1961","AACmXpAAGAAAhHBABU"
"5800","Basketball IQ","Lack of Experience","Zone Defense","Small Forward","3","""MEM""","14177","AACmXpAAGAAAhHBABV"
"5801","Athleticism","Lack of Size/Length","Pick-and-Roll","Point Guard","1","""LAL""","5421","AACmXpAAGAAAhHBABW"
"5802","Rebounding","Inconsistent Shooting","Pick-and-Roll","Power Forward","1","""MIN""","11643","AACmXpAAGAAAhHBABX"
"5803","Shooting","Inconsistent Shooting","Small Ball","Center","5","""SAS""","5343","AACmXpAAGAAAhHBABY"
"5804","Leadership","Lack of Size/Length","Fast Break","Power Forward","2","""MIL""","10816","AACmXpAAGAAAhHBABZ"
"5805","Leadership","Poor Decision Making","Small Ball","Small Forward","4","""DET""","2627","AACmXpAAGAAAhHBABa"
"5806","Rebounding","Poor Decision Making","Triangle Offense","Power Forward","2","""PHX""","13011","AACmXpAAGAAAhHBABb"
"5807","Versatility","Lack of Athleticism","Man-to-Man Defense","Point Guard","5","""ORL""","16712","AACmXpAAGAAAhHBABc"
"5808","Basketball IQ","Poor Decision Making","Zone Defense","Shooting Guard","4","""NOP""","14373","AACmXpAAGAAAhHBABd"
"5809","Size/Length","Poor Ball Handling","Fast Break","Shooting Guard","5","""DET""","3509","AACmXpAAGAAAhHBABe"
"5810","Basketball IQ","Foul Prone","Zone Defense","Shooting Guard","3","""MEM""","11897","AACmXpAAGAAAhHBABf"
"5811","Leadership","Lack of Experience","Isolation","Shooting Guard","4","""MEM""","6766","AACmXpAAGAAAhHBABg"
"5812","Athleticism","Weak Defense","Isolation","Power Forward","5","""LAL""","2331","AACmXpAAGAAAhHCAAA"
"5813","Versatility","Weak Defense","Man-to-Man Defense","Point Guard","5","""PHI""","18017","AACmXpAAGAAAhHCAAB"
"5814","Shooting","Weak Defense","Zone Defense","Center","4","""BKN""","3086","AACmXpAAGAAAhHCAAC"
"5815","Scoring","Weak Defense","Half-Court Offense","Shooting Guard","2","""LAL""","18023","AACmXpAAGAAAhHCAAD"
"5816","Shooting","Poor Ball Handling","Man-to-Man Defense","Center","5","""MIN""","2333","AACmXpAAGAAAhHCAAE"
"5817","Defense","Poor Decision Making","Half-Court Offense","Point Guard","2","""OKC""","1506","AACmXpAAGAAAhHCAAF"
"5818","Athleticism","Poor Decision Making","Pick-and-Roll","Shooting Guard","3","""SAC""","5660","AACmXpAAGAAAhHCAAG"
"5819","Athleticism","Lack of Athleticism","Fast Break","Center","3","""GSW""","6071","AACmXpAAGAAAhHCAAH"
"5820","Shooting","Weak Defense","Man-to-Man Defense","Center","3","""HOU""","9170","AACmXpAAGAAAhHCAAI"
"5821","Size/Length","Poor Ball Handling","Isolation","Small Forward","2","""SAS""","5417","AACmXpAAGAAAhHCAAJ"
"5822","Rebounding","Foul Prone","Half-Court Offense","Small Forward","4","""MIA""","11541","AACmXpAAGAAAhHCAAK"
"5823","Ball Handling","Foul Prone","Half-Court Offense","Center","1","""UTA""","10517","AACmXpAAGAAAhHCAAL"
"5824","Leadership","Lack of Experience","Zone Defense","Power Forward","3","""CLE""","359","AACmXpAAGAAAhHCAAM"
"5825","Passing","Poor Decision Making","Zone Defense","Shooting Guard","4","""MEM""","10049","AACmXpAAGAAAhHCAAN"
"5826","Scoring","Inconsistent Shooting","Triangle Offense","Small Forward","2","""DEN""","13295","AACmXpAAGAAAhHCAAO"
"5827","Rebounding","Injury Prone","Isolation","Point Guard","1","""CHA""","15844","AACmXpAAGAAAhHCAAP"
"5828","Leadership","Weak Defense","Pick-and-Roll","Shooting Guard","3","ATL","2508","AACmXpAAGAAAhHCAAQ"
"5829","Scoring","Lack of Athleticism","Man-to-Man Defense","Small Forward","2","""PHI""","16599","AACmXpAAGAAAhHCAAR"
"5830","Leadership","Lack of Size/Length","Zone Defense","Point Guard","4","""DEN""","536","AACmXpAAGAAAhHCAAS"
"5831","Versatility","Poor Ball Handling","Half-Court Offense","Point Guard","5","""MIL""","11908","AACmXpAAGAAAhHCAAT"
"5832","Defense","Poor Decision Making","Fast Break","Small Forward","3","""SAC""","9069","AACmXpAAGAAAhHCAAU"
"5833","Scoring","Weak Defense","Isolation","Point Guard","2","""CLE""","5201","AACmXpAAGAAAhHCAAV"
"5834","Ball Handling","Lack of Athleticism","Triangle Offense","Shooting Guard","5","""MIL""","9683","AACmXpAAGAAAhHCAAW"
"5835","Rebounding","Poor Ball Handling","Zone Defense","Center","5","""MEM""","14571","AACmXpAAGAAAhHCAAX"
"5836","Athleticism","Inconsistent Shooting","Zone Defense","Power Forward","4","""DEN""","19056","AACmXpAAGAAAhHCAAY"
"5837","Shooting","Injury Prone","Half-Court Offense","Small Forward","5","""HOU""","1040","AACmXpAAGAAAhHCAAZ"
"5838","Scoring","Weak Defense","Pick-and-Roll","Center","5","""HOU""","1705","AACmXpAAGAAAhHCAAa"
"5839","Leadership","Poor Decision Making","Pick-and-Roll","Shooting Guard","3","""CHA""","10803","AACmXpAAGAAAhHCAAb"
"5840","Ball Handling","Foul Prone","Man-to-Man Defense","Power Forward","3","""TOR""","2018","AACmXpAAGAAAhHCAAc"
"5841","Size/Length","Lack of Size/Length","Zone Defense","Shooting Guard","3","""NYK""","7586","AACmXpAAGAAAhHCAAd"
"5842","Shooting","Injury Prone","Half-Court Offense","Center","3","""BKN""","5670","AACmXpAAGAAAhHCAAe"
"5843","Size/Length","Weak Defense","Isolation","Small Forward","3","""POR""","9823","AACmXpAAGAAAhHCAAf"
"5844","Athleticism","Lack of Experience","Isolation","Point Guard","5","""IND""","19611","AACmXpAAGAAAhHCAAg"
"5845","Athleticism","Inconsistent Shooting","Isolation","Point Guard","3","""POR""","11027","AACmXpAAGAAAhHCAAh"
"5846","Scoring","Inconsistent Shooting","Small Ball","Point Guard","5","""NOP""","10897","AACmXpAAGAAAhHCAAi"
"5847","Basketball IQ","Inconsistent Shooting","Half-Court Offense","Center","5","""NOP""","6833","AACmXpAAGAAAhHCAAj"
"5848","Versatility","Poor Ball Handling","Zone Defense","Shooting Guard","3","""NOP""","19050","AACmXpAAGAAAhHCAAk"
"5849","Shooting","Lack of Athleticism","Triangle Offense","Point Guard","5","ATL","4951","AACmXpAAGAAAhHCAAl"
"5850","Shooting","Injury Prone","Man-to-Man Defense","Shooting Guard","1","ATL","15550","AACmXpAAGAAAhHCAAm"
"5851","Shooting","Lack of Athleticism","Triangle Offense","Power Forward","2","""HOU""","10916","AACmXpAAGAAAhHCAAn"
"5852","Shooting","Lack of Experience","Isolation","Small Forward","5","""PHX""","18779","AACmXpAAGAAAhHCAAo"
"5853","Ball Handling","Foul Prone","Pick-and-Roll","Small Forward","4","""SAS""","9349","AACmXpAAGAAAhHCAAp"
"5854","Basketball IQ","Inconsistent Shooting","Triangle Offense","Power Forward","1","""NOP""","4456","AACmXpAAGAAAhHCAAq"
"5855","Defense","Lack of Experience","Man-to-Man Defense","Point Guard","2","""UTA""","13657","AACmXpAAGAAAhHCAAr"
"5856","Shooting","Lack of Size/Length","Isolation","Shooting Guard","4","""GSW""","11652","AACmXpAAGAAAhHCAAs"
"5857","Basketball IQ","Weak Defense","Triangle Offense","Shooting Guard","3","""IND""","2990","AACmXpAAGAAAhHCAAt"
"5858","Size/Length","Lack of Size/Length","Small Ball","Small Forward","4","""TOR""","13981","AACmXpAAGAAAhHCAAu"
"5859","Size/Length","Lack of Experience","Half-Court Offense","Point Guard","4","""MIA""","43","AACmXpAAGAAAhHCAAv"
"5860","Athleticism","Lack of Experience","Zone Defense","Shooting Guard","5","""NYK""","15952","AACmXpAAGAAAhHCAAw"
"5861","Leadership","Poor Ball Handling","Half-Court Offense","Power Forward","1","""NYK""","13245","AACmXpAAGAAAhHCAAx"
"5862","Leadership","Injury Prone","Small Ball","Small Forward","3","""UTA""","6768","AACmXpAAGAAAhHCAAy"
"5863","Ball Handling","Lack of Experience","Isolation","Shooting Guard","1","""POR""","8221","AACmXpAAGAAAhHCAAz"
"5864","Scoring","Inconsistent Shooting","Isolation","Center","2","""TOR""","9554","AACmXpAAGAAAhHCAA0"
"5865","Rebounding","Lack of Athleticism","Isolation","Center","1","""LAL""","12412","AACmXpAAGAAAhHCAA1"
"5866","Basketball IQ","Poor Ball Handling","Fast Break","Small Forward","3","""IND""","4147","AACmXpAAGAAAhHCAA2"
"5867","Rebounding","Foul Prone","Fast Break","Power Forward","5","""BOS""","9657","AACmXpAAGAAAhHCAA3"
"5868","Versatility","Weak Defense","Fast Break","Center","4","""CHA""","7537","AACmXpAAGAAAhHCAA4"
"5869","Size/Length","Poor Ball Handling","Pick-and-Roll","Power Forward","5","""LAC""","14601","AACmXpAAGAAAhHCAA5"
"5870","Athleticism","Lack of Size/Length","Half-Court Offense","Power Forward","4","""PHI""","9043","AACmXpAAGAAAhHCAA6"
"5871","Shooting","Poor Ball Handling","Zone Defense","Center","1","""OKC""","6269","AACmXpAAGAAAhHCAA7"
"5872","Ball Handling","Lack of Size/Length","Pick-and-Roll","Small Forward","2","""HOU""","8580","AACmXpAAGAAAhHCAA8"
"5873","Versatility","Lack of Experience","Isolation","Center","1","""MEM""","12263","AACmXpAAGAAAhHCAA9"
"5874","Defense","Poor Decision Making","Fast Break","Point Guard","5","ATL","17171","AACmXpAAGAAAhHCAA+"
"5875","Rebounding","Poor Ball Handling","Half-Court Offense","Shooting Guard","1","""CLE""","6103","AACmXpAAGAAAhHCAA/"
"5876","Size/Length","Weak Defense","Man-to-Man Defense","Center","5","""LAL""","427","AACmXpAAGAAAhHCABA"
"5877","Scoring","Injury Prone","Pick-and-Roll","Small Forward","1","""DAL""","16391","AACmXpAAGAAAhHCABB"
"5878","Passing","Lack of Athleticism","Man-to-Man Defense","Center","3","""PHX""","19359","AACmXpAAGAAAhHCABC"
"5879","Rebounding","Injury Prone","Triangle Offense","Shooting Guard","3","""SAS""","4095","AACmXpAAGAAAhHCABD"
"5880","Ball Handling","Lack of Athleticism","Triangle Offense","Point Guard","4","""CHA""","19753","AACmXpAAGAAAhHCABE"
"5881","Rebounding","Lack of Size/Length","Pick-and-Roll","Small Forward","1","""SAC""","9494","AACmXpAAGAAAhHCABF"
"5882","Athleticism","Foul Prone","Man-to-Man Defense","Small Forward","1","""PHX""","2783","AACmXpAAGAAAhHCABG"
"5883","Rebounding","Lack of Size/Length","Pick-and-Roll","Point Guard","4","""TOR""","19502","AACmXpAAGAAAhHCABH"
"5884","Shooting","Poor Decision Making","Triangle Offense","Shooting Guard","1","ATL","6734","AACmXpAAGAAAhHCABI"
"5885","Athleticism","Poor Decision Making","Fast Break","Shooting Guard","5","""CHA""","5374","AACmXpAAGAAAhHCABJ"
"5886","Size/Length","Inconsistent Shooting","Triangle Offense","Shooting Guard","1","""LAC""","3951","AACmXpAAGAAAhHCABK"
"5887","Passing","Inconsistent Shooting","Triangle Offense","Power Forward","1","""MEM""","6554","AACmXpAAGAAAhHCABL"
"5888","Athleticism","Poor Ball Handling","Fast Break","Point Guard","3","ATL","19641","AACmXpAAGAAAhHCABM"
"5889","Passing","Lack of Experience","Small Ball","Shooting Guard","1","""HOU""","14786","AACmXpAAGAAAhHCABN"
"5890","Versatility","Weak Defense","Fast Break","Power Forward","3","""MEM""","11230","AACmXpAAGAAAhHCABO"
"5891","Athleticism","Weak Defense","Fast Break","Center","4","""MIN""","19885","AACmXpAAGAAAhHCABP"
"5892","Leadership","Poor Decision Making","Zone Defense","Power Forward","2","""BKN""","19762","AACmXpAAGAAAhHCABQ"
"5893","Passing","Lack of Experience","Zone Defense","Point Guard","2","""OKC""","1041","AACmXpAAGAAAhHCABR"
"5894","Defense","Foul Prone","Small Ball","Shooting Guard","1","""GSW""","19745","AACmXpAAGAAAhHCABS"
"5895","Leadership","Lack of Size/Length","Pick-and-Roll","Power Forward","1","""ORL""","1322","AACmXpAAGAAAhHCABT"
"5896","Size/Length","Foul Prone","Isolation","Shooting Guard","5","""IND""","1965","AACmXpAAGAAAhHCABU"
"5897","Rebounding","Lack of Size/Length","Triangle Offense","Shooting Guard","5","""PHI""","14613","AACmXpAAGAAAhHCABV"
"5898","Shooting","Inconsistent Shooting","Fast Break","Shooting Guard","5","""UTA""","6444","AACmXpAAGAAAhHCABW"
"5899","Athleticism","Injury Prone","Zone Defense","Center","5","""UTA""","19573","AACmXpAAGAAAhHCABX"
